ポジション,属性,パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,フォーカスDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,名前,ボード,属性,ポジション,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,"ボード
キック","ボード
コントロール","ボード
テクニック","ボード
プレッシャー","ボード
フィジカル","ボード
アジリティ","ボード
インテリジェンス",オフェンス技,ディフェンス技,シュート技,キーパー技,超次元技,アームド,ミキシ,ソウル,技枠,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP,,,,,,,,,,,
1,円堂 守,1,山,GK,126,135.8,127.4,137.2,147,155.4,135.8,,,,,10,13,,,,,4,2,,,,6,985,261,325,346,294,292,272,1335,,,,,,,,,,,
1,円堂 守,2,山,GK,126,135.8,127.4,137.2,147,155.4,135.8,5,,,5,3,,,,2,2,2,,,,,6,975,266,327.5,339.5,292,285,277,1335,,,,,,,,,,,
2,豪炎寺 修也,2,火,FW,169.4,161,147,123.2,119,119,130.2,3,10,3,,,,7,3,,1,,2,,,,6,991,343,407,346.5,242,256,260,1079,,,,,,,,,,,
2,豪炎寺 修也,1,火,FW,169.4,161,147,123.2,119,119,130.2,13,10,,,,,,1,,3,,2,,,,6,991,353,409,336.5,242,249,253,1079,,,,,,,,,,,
5,壁山 塀吾郎,2,山,DF,126,131.6,133,142.8,147,127.4,159.6,,5,3,3,5,,7,2,2,,,2,,,,6,988,262,335,365.5,297,318,311,1233,,,,,,,,,,,
5,壁山 塀吾郎,1,山,DF,126,131.6,133,142.8,147,127.4,159.6,,,,6,10,,7,1,3,,,2,,,,6,988,257,327,362.5,305,323,314,1233,,,,,,,,,,,
6,風丸 一郎太,2,風,DF,126,131.6,133,142.8,147,127.4,159.6,,5,3,3,5,,7,3,1,,,2,,,,6,988,262,335,365.5,297,318,311,1233,,,,,,,,,,,
6,風丸 一郎太,1,風,DF,126,131.6,133,142.8,147,127.4,159.6,,,,6,10,,7,2,2,,,2,,,,6,988,257,327,362.5,305,323,314,1233,,,,,,,,,,,
7,染岡 竜吾,2,林,FW,163.8,156.8,142.8,117.6,114.8,113.4,126,3,10,3,,,,7,2,,2,,2,,,,6,954,332,394,334.5,231,247,250,1028,,,,,,,,,,,
7,染岡 竜吾,1,林,FW,163.8,156.8,142.8,117.6,114.8,113.4,126,13,10,,,,,,1,,3,,2,,,,6,954,342,396,324.5,231,240,243,1028,,,,,,,,,,,
8,栗松 鉄平,2,火,DF,120.4,126,127.4,137.2,142.8,123.2,154,,5,3,3,5,,7,2,2,,,2,,,,6,952,251,321,352.5,287,308,301,1192,,,,,,,,,,,
8,栗松 鉄平,1,火,DF,120.4,126,127.4,137.2,142.8,123.2,154,,,,6,10,,7,1,2,1,,2,,,,6,952,246,313,349.5,295,313,304,1192,,,,,,,,,,,
9,半田 真一,1,風,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
9,半田 真一,2,風,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
10,松野 空介,2,風,FW,163.8,156.8,142.8,117.6,114.8,113.4,126,3,10,3,,,,7,3,1,,,2,,,,6,954,332,394,334.5,231,247,250,1028,,,,,,,,,,,
10,松野 空介,1,風,FW,163.8,156.8,142.8,117.6,114.8,113.4,126,13,10,,,,,,3,1,,,2,,,,6,954,342,396,324.5,231,240,243,1028,,,,,,,,,,,
11,少林寺 歩,1,林,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
11,少林寺 歩,2,林,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
12,宍戸 佐吉,1,火,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
12,宍戸 佐吉,2,火,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
13,影野 仁,1,林,DF,120.4,126,127.4,137.2,142.8,123.2,154,,,,6,10,,7,1,3,,,2,,,,6,952,246,313,349.5,295,313,304,1192,,,,,,,,,,,
13,影野 仁,2,林,DF,120.4,126,127.4,137.2,142.8,123.2,154,,,,3,10,10,,,2,,2,2,,,,6,952,246,313,347.5,292,306,294,1192,,,,,,,,,,,
14,目金 欠流,1,林,FW,154,151.2,137.2,123.2,119,113.4,135.8,,,,,,,,,,,,,,,,0,932,305,365,328.5,242,254,258,1055,,,,,,,,,,,
14,目金 欠流,2,林,FW,154,151.2,137.2,123.2,119,113.4,135.8,,,,,,,,,,,,,,,,0,932,305,365,328.5,242,254,258,1055,,,,,,,,,,,
15,一之瀬 一哉,1,林,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
15,一之瀬 一哉,2,林,MF,140,151.2,147,123.2,123.2,113.4,135.8,,,,,,,,,,,,,,,,0,932,291,368,338.5,246,258,258,1067,,,,,,,,,,,
16,土門 飛鳥,2,林,DF,120.4,126,127.4,137.2,142.8,123.2,154,,5,3,3,5,,7,,3,1,,2,,,,6,952,251,321,352.5,287,308,301,1192,,,,,,,,,,,
16,土門 飛鳥,1,林,DF,120.4,126,127.4,137.2,142.8,123.2,154,,,,6,10,,7,,3,1,,2,,,,6,952,246,313,349.5,295,313,304,1192,,,,,,,,,,,
17,木野 秋,2,山,GK,126,135.8,127.4,137.2,147,155.4,135.8,,,,3,10,3,7,,2,,2,2,,,,6,985,261,325,348,297,299,282,1335,,,,,,,,,,,
17,木野 秋,1,山,GK,126,135.8,127.4,137.2,147,155.4,135.8,,,,,10,13,,,,,4,2,,,,6,985,261,325,346,294,292,272,1335,,,,,,,,,,,
18,音無 春奈,1,風,MF,145.6,156.8,152.6,127.4,128.8,119,140,,10,6,,,,7,3,,1,,2,,,,6,990,311,396.5,364.5,255,275,274,1114,,,,,,,,,,,
18,音無 春奈,2,風,MF,145.6,156.8,152.6,127.4,128.8,119,140,,5,3,3,5,,7,2,2,,,2,,,,6,990,306,388.5,361.5,263,280,277,1114,,,,,,,,,,,
19,雷門 夏未,2,火,FW,169.4,161,147,123.2,119,119,130.2,3,10,3,,,,7,1,1,2,,2,,,,6,991,343,407,346.5,242,256,260,1079,,,,,,,,,,,
19,雷門 夏未,1,火,FW,169.4,161,147,123.2,119,119,130.2,13,10,,,,,,,,4,,2,,,,6,991,353,409,336.5,242,249,253,1079,,,,,,,,,,,
